Ticker,Date,Close/Last,Volume,Open,High,Low
AMZN,05/31/2023,$120.58 ,72800790,$121.45 ,$122.04 ,$119.17 
AMZN,05/30/2023,$121.66 ,64314810,$122.37 ,$122.92 ,$119.86 
AMZN,05/26/2023,$120.11 ,96779890,$116.04 ,$121.50 ,$116.02 
AMZN,05/25/2023,$115.00 ,66496680,$116.63 ,$116.87 ,$114.31 
AMZN,05/24/2023,$116.75 ,63487940,$115.35 ,$117.34 ,$115.02 
AMZN,05/23/2023,$114.99 ,67576260,$114.27 ,$117.14 ,$113.78 
AMZN,05/22/2023,$115.01 ,70741120,$116.77 ,$116.77 ,$114.25 
AMZN,05/19/2023,$116.25 ,55056310,$118.16 ,$118.31 ,$115.70 
AMZN,05/18/2023,$118.15 ,73174090,$116.69 ,$118.60 ,$116.34 
AMZN,05/17/2023,$115.50 ,65655180,$114.89 ,$115.83 ,$114.22 
AMZN,05/16/2023,$113.40 ,71472910,$111.05 ,$114.79 ,$111.05 
AMZN,05/15/2023,$111.20 ,53011150,$111.15 ,$112.29 ,$109.25 
AMZN,05/12/2023,$110.26 ,49852670,$112.16 ,$112.64 ,$109.32 
AMZN,05/11/2023,$112.18 ,74924840,$111.03 ,$113.28 ,$110.49 
AMZN,05/10/2023,$110.19 ,78627620,$108.10 ,$110.67 ,$108.05 
AMZN,05/09/2023,$106.62 ,44089360,$105.48 ,$106.79 ,$105.16 
AMZN,05/08/2023,$105.83 ,49430910,$105.04 ,$106.10 ,$104.70 
AMZN,05/05/2023,$105.66 ,56951740,$104.27 ,$105.76 ,$103.55 
AMZN,05/04/2023,$104.00 ,45345520,$104.04 ,$105.39 ,$103.31 
AMZN,05/03/2023,$103.65 ,65051930,$103.74 ,$105.96 ,$103.28 
AMZN,05/02/2023,$103.63 ,73469350,$101.47 ,$103.90 ,$101.15 
AMZN,05/01/2023,$102.05 ,74728100,$104.95 ,$105.23 ,$101.82 
AMZN,04/28/2023,$105.45 ,130715900,$107.73 ,$109.48 ,$104.33 
AMZN,04/27/2023,$109.82 ,149961200,$108.16 ,$110.86 ,$106.80 
AMZN,04/26/2023,$104.98 ,73803790,$105.04 ,$106.62 ,$104.10 
AMZN,04/25/2023,$102.57 ,65026820,$104.91 ,$105.45 ,$102.45 
AMZN,04/24/2023,$106.21 ,69575610,$107.66 ,$109.23 ,$105.07 
AMZN,04/21/2023,$106.96 ,86774190,$106.10 ,$108.15 ,$105.08 
AMZN,04/20/2023,$103.81 ,57696870,$103.53 ,$105.25 ,$103.21 
AMZN,04/19/2023,$104.30 ,58398890,$101.58 ,$105.12 ,$101.39 
AMZN,04/18/2023,$102.30 ,39790520,$103.95 ,$104.20 ,$101.52 
AMZN,04/17/2023,$102.74 ,39919460,$103.16 ,$103.73 ,$101.59 
AMZN,04/14/2023,$102.51 ,51450520,$102.07 ,$103.20 ,$101.11 
AMZN,04/13/2023,$102.40 ,67925140,$98.95 ,$102.57 ,$98.71 
AMZN,04/12/2023,$97.83 ,56735010,$100.40 ,$100.51 ,$97.71 
AMZN,04/11/2023,$99.92 ,60417850,$100.80 ,$101.00 ,$99.01 
AMZN,04/10/2023,$102.17 ,37261190,$100.96 ,$102.20 ,$99.57 
AMZN,04/06/2023,$102.06 ,43808020,$100.75 ,$102.38 ,$99.80 
AMZN,04/05/2023,$101.10 ,45175390,$103.91 ,$103.91 ,$100.75 
AMZN,04/04/2023,$103.95 ,48662500,$102.75 ,$104.20 ,$102.11 
AMZN,04/03/2023,$102.41 ,41135730,$102.30 ,$103.29 ,$101.43 
AMZN,03/31/2023,$103.29 ,56750320,$102.16 ,$103.49 ,$101.95 
AMZN,03/30/2023,$102.00 ,53633400,$101.55 ,$103.04 ,$101.01 
AMZN,03/29/2023,$100.25 ,49783280,$98.69 ,$100.42 ,$98.56 
AMZN,03/28/2023,$97.24 ,38720050,$98.11 ,$98.44 ,$96.29 
