Ticker,Date,Close/Last,Volume,Open,High,Low
BRK-B,05/31/2023,$321.08 ,6175417,$321.12 ,$322.41 ,$319.39 
BRK-B,05/30/2023,$322.19 ,3232461,$321.86 ,$322.47 ,$319.00 
BRK-B,05/26/2023,$320.60 ,3229873,$320.44 ,$322.63 ,$319.67 
BRK-B,05/25/2023,$319.02 ,4251935,$320.56 ,$320.56 ,$317.71 
BRK-B,05/24/2023,$320.20 ,3075393,$322.71 ,$323.00 ,$319.56 
BRK-B,05/23/2023,$323.11 ,4031342,$328.19 ,$329.27 ,$322.97 
BRK-B,05/22/2023,$329.13 ,2763422,$330.75 ,$331.49 ,$328.35 
BRK-B,05/19/2023,$330.39 ,4323538,$331.00 ,$333.94 ,$329.12 
BRK-B,05/18/2023,$329.76 ,2808329,$326.87 ,$329.98 ,$325.85 
BRK-B,05/17/2023,$327.39 ,3047626,$325.02 ,$328.26 ,$324.82 
BRK-B,05/16/2023,$323.75 ,2139996,$322.46 ,$324.69 ,$322.36 
BRK-B,05/15/2023,$323.53 ,2191609,$322.89 ,$323.83 ,$320.13 
BRK-B,05/12/2023,$322.49 ,1938264,$323.82 ,$324.24 ,$320.54 
BRK-B,05/11/2023,$322.64 ,2549339,$321.00 ,$322.96 ,$319.81 
BRK-B,05/10/2023,$322.99 ,2641134,$326.08 ,$326.16 ,$320.15 
BRK-B,05/09/2023,$324.87 ,2285924,$324.87 ,$326.88 ,$323.48 
BRK-B,05/08/2023,$326.14 ,3303393,$328.26 ,$330.69 ,$325.79 
BRK-B,05/05/2023,$323.88 ,3876299,$323.36 ,$325.16 ,$322.62 
BRK-B,05/04/2023,$320.00 ,3194768,$323.44 ,$325.99 ,$317.41 
BRK-B,05/03/2023,$323.22 ,2660456,$327.13 ,$328.07 ,$323.06 
BRK-B,05/02/2023,$325.86 ,3369713,$330.15 ,$330.25 ,$322.76 
BRK-B,05/01/2023,$330.17 ,2465391,$329.16 ,$331.84 ,$328.57 
BRK-B,04/28/2023,$328.55 ,2912387,$325.44 ,$328.81 ,$325.19 
BRK-B,04/27/2023,$326.23 ,2951130,$322.86 ,$326.91 ,$322.11 
BRK-B,04/26/2023,$320.53 ,2721238,$323.31 ,$323.74 ,$319.00 
BRK-B,04/25/2023,$324.34 ,2554381,$325.99 ,$327.10 ,$324.11 
BRK-B,04/24/2023,$326.05 ,2262391,$324.43 ,$326.40 ,$324.30 
BRK-B,04/21/2023,$324.33 ,2405869,$322.36 ,$324.85 ,$321.61 
BRK-B,04/20/2023,$323.82 ,2429179,$322.20 ,$324.37 ,$321.32 
BRK-B,04/19/2023,$323.09 ,2410917,$323.85 ,$324.55 ,$322.76 
BRK-B,04/18/2023,$324.63 ,3582623,$324.95 ,$325.72 ,$322.50 
BRK-B,04/17/2023,$323.79 ,3426342,$320.20 ,$323.98 ,$319.00 
BRK-B,04/14/2023,$319.74 ,2976417,$318.89 ,$321.88 ,$318.12 
BRK-B,04/13/2023,$318.05 ,3325989,$315.27 ,$318.81 ,$313.26 
