Ticker,Date,Close/Last,Volume,Open,High,Low
META,05/31/2023,$264.72 ,25473690,$260.00 ,$265.00 ,$258.45 
META,05/30/2023,$262.52 ,23816480,$265.25 ,$268.65 ,$261.29 
META,05/26/2023,$262.04 ,25768660,$252.93 ,$262.31 ,$252.71 
META,05/25/2023,$252.69 ,22371440,$253.40 ,$255.62 ,$249.17 
META,05/24/2023,$249.21 ,17724340,$245.28 ,$249.59 ,$244.95 
META,05/23/2023,$246.74 ,17748120,$246.81 ,$251.61 ,$246.65 
META,05/22/2023,$248.32 ,27738480,$245.41 ,$253.57 ,$245.12 
META,05/19/2023,$245.64 ,21733580,$247.47 ,$248.69 ,$243.41 
META,05/18/2023,$246.85 ,22943300,$241.30 ,$247.09 ,$241.19 
META,05/17/2023,$242.49 ,21193080,$238.45 ,$243.84 ,$238.14 
META,05/16/2023,$238.82 ,18163770,$235.79 ,$239.64 ,$235.52 
META,05/15/2023,$238.86 ,20653230,$236.92 ,$240.26 ,$235.33 
META,05/12/2023,$233.81 ,16161450,$236.74 ,$236.96 ,$231.45 
META,05/11/2023,$235.79 ,20448990,$233.05 ,$238.21 ,$232.30 
META,05/10/2023,$233.08 ,19119010,$236.17 ,$236.75 ,$230.72 
META,05/09/2023,$233.37 ,16865590,$231.46 ,$235.88 ,$231.08 
META,05/08/2023,$233.27 ,16400530,$231.42 ,$235.62 ,$230.27 
META,05/05/2023,$232.78 ,27000480,$232.24 ,$234.68 ,$229.85 
META,05/04/2023,$233.52 ,17889390,$236.06 ,$238.20 ,$232.93 
META,05/03/2023,$237.03 ,34463860,$239.47 ,$241.75 ,$232.75 
META,05/02/2023,$239.24 ,24350150,$243.18 ,$244.92 ,$238.99 
META,05/01/2023,$243.18 ,29143910,$238.62 ,$244.00 ,$236.46 
META,04/28/2023,$240.32 ,39554040,$239.01 ,$240.43 ,$235.75 
META,04/27/2023,$238.56 ,71196530,$239.89 ,$241.69 ,$236.77 
META,04/26/2023,$209.40 ,41992730,$212.50 ,$214.11 ,$208.88 
META,04/25/2023,$207.55 ,19198180,$210.82 ,$211.26 ,$207.13 
META,04/24/2023,$212.79 ,15750920,$213.68 ,$213.92 ,$210.71 
META,04/21/2023,$212.89 ,17717170,$210.21 ,$213.41 ,$209.58 
META,04/20/2023,$213.07 ,16475440,$213.48 ,$216.75 ,$212.77 
META,04/19/2023,$215.70 ,15898080,$213.47 ,$217.33 ,$212.93 
META,04/18/2023,$217.89 ,12280980,$219.91 ,$220.44 ,$216.21 
META,04/17/2023,$218.86 ,15481870,$219.79 ,$220.98 ,$217.13 
META,04/14/2023,$221.49 ,21591210,$217.88 ,$222.11 ,$217.55 
META,04/13/2023,$220.35 ,23310360,$215.73 ,$221.15 ,$215.69 
META,04/12/2023,$214.00 ,18972170,$214.84 ,$216.84 ,$212.58 
META,04/11/2023,$213.85 ,16710100,$215.48 ,$216.02 ,$213.41 
META,04/10/2023,$214.75 ,16106070,$214.71 ,$215.66 ,$210.66 
META,04/06/2023,$216.10 ,26104410,$209.25 ,$216.94 ,$208.65 
META,04/05/2023,$211.48 ,19396630,$214.15 ,$215.19 ,$209.94 
META,04/04/2023,$214.72 ,21026370,$213.39 ,$216.24 ,$212.54 
META,04/03/2023,$213.07 ,17924610,$208.84 ,$213.49 ,$208.20 
META,03/31/2023,$211.94 ,25440270,$207.24 ,$212.17 ,$206.77 
META,03/30/2023,$207.84 ,22608300,$203.38 ,$208.09 ,$202.82 
META,03/29/2023,$205.35 ,18851140,$203.56 ,$205.72 ,$202.54 
META,03/28/2023,$200.68 ,19127300,$200.15 ,$201.03 ,$197.90 
META,03/27/2023,$202.84 ,18527180,$204.81 ,$205.86 ,$201.36 
META,03/24/2023,$206.01 ,27733040,$205.18 ,$207.58 ,$203.55 
META,03/23/2023,$204.28 ,27389670,$202.84 ,$207.88 ,$202.15 
META,03/22/2023,$199.81 ,28477760,$202.50 ,$207.37 ,$199.67 
META,03/21/2023,$202.16 ,31826950,$203.20 ,$203.55 ,$197.95 
META,03/20/2023,$197.81 ,25186320,$198.48 ,$199.36 ,$193.64 
META,03/17/2023,$195.61 ,50141100,$200.56 ,$201.90 ,$195.43 
META,03/16/2023,$204.93 ,50819660,$198.26 ,$205.76 ,$196.09 
META,03/15/2023,$197.75 ,42123550,$192.95 ,$197.78 ,$190.84 
META,03/14/2023,$194.02 ,41642630,$187.58 ,$194.32 ,$186.56 
META,03/13/2023,$180.90 ,24727970,$177.96 ,$183.78 ,$174.82 
META,03/10/2023,$179.51 ,25665030,$181.01 ,$184.77 ,$178.80 
META,03/09/2023,$181.69 ,26582750,$186.35 ,$188.93 ,$180.30 
META,03/08/2023,$184.97 ,19432410,$182.87 ,$185.26 ,$181.34 
META,03/07/2023,$184.51 ,36701500,$189.00 ,$190.36 ,$184.01 
META,03/06/2023,$184.90 ,33209390,$188.00 ,$189.66 ,$184.64 
META,03/03/2023,$185.25 ,45877690,$178.92 ,$186.62 ,$177.05 
META,03/02/2023,$174.53 ,17360710,$172.38 ,$175.01 ,$171.43 
META,03/01/2023,$173.42 ,30998380,$174.59 ,$177.85 ,$173.05 
META,02/28/2023,$174.94 ,46051120,$171.90 ,$177.55 ,$171.87 
META,02/27/2023,$169.54 ,19277000,$171.88 ,$173.12 ,$169.06 
META,02/24/2023,$170.39 ,19791330,$168.64 ,$170.72 ,$167.66 
META,02/23/2023,$172.04 ,20017780,$172.00 ,$173.69 ,$169.38 
META,02/22/2023,$171.12 ,22433160,$171.07 ,$172.76 ,$169.69 
META,02/21/2023,$172.08 ,34592580,$174.31 ,$178.17 ,$171.88 
META,02/17/2023,$172.88 ,24171260,$170.22 ,$173.18 ,$169.70 
META,02/16/2023,$172.44 ,25827470,$172.75 ,$175.85 ,$171.79 
META,02/15/2023,$177.16 ,25337970,$176.42 ,$178.19 ,$175.33 
META,02/14/2023,$179.48 ,24034630,$177.16 ,$181.51 ,$175.88 
META,02/13/2023,$179.43 ,31463220,$178.22 ,$181.00 ,$175.82 
META,02/10/2023,$174.15 ,33433570,$176.35 ,$178.89 ,$173.35 
META,02/09/2023,$177.92 ,37118810,$186.13 ,$186.65 ,$177.27 
META,02/08/2023,$183.43 ,36139070,$190.00 ,$190.83 ,$182.92 
META,02/07/2023,$191.62 ,47080660,$185.58 ,$193.78 ,$184.40 
META,02/06/2023,$186.06 ,42483810,$186.53 ,$190.70 ,$185.52 
META,02/03/2023,$186.53 ,76809700,$183.47 ,$196.77 ,$182.89 
META,02/02/2023,$188.77 ,150475700,$183.38 ,$197.16 ,$180.16 
META,02/01/2023,$153.12 ,55661020,$148.03 ,$153.58 ,$147.06 
META,01/31/2023,$148.97 ,29842110,$147.95 ,$149.88 ,$147.52 
META,01/30/2023,$147.06 ,28040100,$149.41 ,$151.12 ,$146.95 
META,01/27/2023,$151.74 ,35771870,$148.24 ,$153.19 ,$147.39 
META,01/26/2023,$147.30 ,25482080,$144.40 ,$147.51 ,$143.30 
META,01/25/2023,$141.50 ,26622020,$141.22 ,$143.17 ,$140.31 
META,01/24/2023,$143.14 ,21970190,$141.69 ,$145.00 ,$141.36 
META,01/23/2023,$143.27 ,27470090,$139.29 ,$143.76 ,$138.66 
META,01/20/2023,$139.37 ,28688630,$135.89 ,$139.94 ,$134.61 
META,01/19/2023,$136.15 ,28625230,$132.49 ,$137.45 ,$132.14 
META,01/18/2023,$133.02 ,20215490,$135.81 ,$137.25 ,$132.80 
META,01/17/2023,$135.36 ,21147590,$136.18 ,$136.75 ,$134.25 
META,01/13/2023,$136.98 ,22423840,$134.97 ,$137.39 ,$134.84 
META,01/12/2023,$136.71 ,30757730,$133.44 ,$137.68 ,$131.76 
META,01/11/2023,$132.89 ,25423050,$130.96 ,$133.85 ,$130.34 
META,01/10/2023,$132.99 ,28684430,$127.27 ,$133.44 ,$127.15 
META,01/09/2023,$129.47 ,26649150,$131.16 ,$132.95 ,$129.28 
META,01/06/2023,$130.02 ,27584500,$128.97 ,$130.33 ,$126.04 
META,01/05/2023,$126.94 ,25447100,$126.13 ,$128.52 ,$124.54 
META,01/04/2023,$127.37 ,32397090,$127.38 ,$129.05 ,$125.85 
META,01/03/2023,$124.74 ,35528530,$122.82 ,$126.37 ,$122.28 
META,12/30/2022,$120.34 ,19583830,$118.16 ,$120.42 ,$117.74 
META,12/29/2022,$120.26 ,22366190,$116.40 ,$121.03 ,$115.77 
META,12/28/2022,$115.62 ,19612470,$116.25 ,$118.15 ,$115.51 
META,12/27/2022,$116.88 ,21392310,$117.93 ,$118.60 ,$116.05 
META,12/23/2022,$118.04 ,17796630,$116.03 ,$118.18 ,$115.54 
META,12/22/2022,$117.12 ,23618120,$117.20 ,$118.62 ,$114.38 
META,12/21/2022,$119.76 ,20392800,$116.70 ,$120.34 ,$115.62 
META,12/20/2022,$117.09 ,28742500,$113.26 ,$117.33 ,$112.46 
META,12/19/2022,$114.48 ,29769880,$116.83 ,$117.80 ,$114.33 
META,12/16/2022,$119.43 ,67064000,$120.23 ,$123.31 ,$118.82 
META,12/15/2022,$116.15 ,34530970,$118.33 ,$118.63 ,$114.01 
META,12/14/2022,$121.59 ,36922040,$119.39 ,$124.14 ,$119.39 
META,12/13/2022,$120.15 ,44701050,$122.13 ,$123.30 ,$118.64 
META,12/12/2022,$114.71 ,24747060,$115.18 ,$115.72 ,$113.14 
META,12/09/2022,$115.90 ,26033350,$115.30 ,$117.54 ,$113.87 
META,12/08/2022,$115.33 ,30619420,$116.39 ,$117.34 ,$114.59 
META,12/07/2022,$113.93 ,29461140,$113.76 ,$115.88 ,$112.88 
META,12/06/2022,$114.12 ,43689180,$119.91 ,$120.55 ,$113.74 
META,12/05/2022,$122.43 ,35474880,$121.75 ,$124.67 ,$121.35 
META,12/02/2022,$123.49 ,39950460,$117.83 ,$124.04 ,$117.61 
META,12/01/2022,$120.44 ,36551370,$119.20 ,$121.20 ,$118.40 
META,11/30/2022,$118.10 ,43348560,$109.51 ,$118.16 ,$109.38 
META,11/29/2022,$109.46 ,23899240,$109.54 ,$110.94 ,$108.54 
META,11/28/2022,$108.78 ,23332820,$110.78 ,$112.04 ,$108.38 
META,11/25/2022,$111.41 ,12007570,$111.30 ,$112.73 ,$111.02 
META,11/23/2022,$112.24 ,21343080,$111.72 ,$112.67 ,$110.73 
META,11/22/2022,$111.44 ,29028960,$109.86 ,$111.62 ,$108.32 
META,11/21/2022,$109.86 ,24351070,$111.52 ,$112.37 ,$109.19 
META,11/18/2022,$112.05 ,33357710,$113.80 ,$114.32 ,$110.62 
META,11/17/2022,$111.45 ,35093820,$110.41 ,$112.33 ,$109.80 
META,11/16/2022,$113.23 ,33287770,$114.50 ,$116.08 ,$112.66 
META,11/15/2022,$117.08 ,50670500,$116.07 ,$118.74 ,$114.41 
META,11/14/2022,$114.22 ,53394970,$110.99 ,$116.27 ,$110.80 
META,11/11/2022,$113.02 ,59961740,$109.23 ,$114.90 ,$108.81 
META,11/10/2022,$111.87 ,80670960,$107.12 ,$112.75 ,$104.61 
