Ticker,Date,Close/Last,Volume,Open,High,Low
QQQ,05/31/2023,347.99,65105380,348.37,350.6,346.51
QQQ,05/30/2023,349.98,72652160,352.71,353.93,348.53
QQQ,05/26/2023,348.4,63006950,340.76,349.245,340.66
QQQ,05/25/2023,339.72,66862770,339.14,341.01,336.665
QQQ,05/24/2023,331.65,62891170,331.37,332.905,329.56
QQQ,05/23/2023,333.36,48216660,335.89,337.06,333
QQQ,05/22/2023,337.64,43015950,336.25,338.67,336.24
QQQ,05/19/2023,336.51,61554930,337.49,338.205,335.43
QQQ,05/18/2023,337.27,64213470,331.52,337.49,331.5
QQQ,05/17/2023,331.12,47486120,328.24,331.71,327.04
QQQ,05/16/2023,327.16,40019150,326.06,328.9025,326.02
QQQ,05/15/2023,326.79,33375560,325.51,327.03,323.96
QQQ,05/12/2023,325.03,48432840,326.74,327.17,322.94
QQQ,05/11/2023,326.2,44278550,325.7,326.75,324.12
QQQ,05/10/2023,325.14,60446620,324.12,326.01,321.6
QQQ,05/09/2023,321.64,31768800,322,322.88,321.32
QQQ,05/08/2023,323.69,36465800,322.42,324.04,321.315
QQQ,05/05/2023,322.89,51806100,318.47,323.76,316.2116
QQQ,05/04/2023,316.17,50224520,317.06,318.23,315.115
QQQ,05/03/2023,317.29,59882070,319.75,322.47,317.18
QQQ,05/02/2023,319.38,56519410,322.12,322.45,317.61
QQQ,05/01/2023,322.19,41013390,322.09,323.63,321.09
QQQ,04/28/2023,322.56,59712640,320.11,322.65,318.96
QQQ,04/27/2023,320.35,65430390,315.7,320.86,315.05
QQQ,04/26/2023,311.87,55400500,313.44,314.935,311.34
QQQ,04/25/2023,309.99,57121640,314.29,314.97,309.89
QQQ,04/24/2023,315.95,44043060,316.38,317.7391,313.74
QQQ,04/21/2023,316.61,59002290,315.91,317.4,314.1
QQQ,04/20/2023,316.28,62462140,315.69,319.27,314.97
QQQ,04/19/2023,318.71,38960130,316.41,319.79,316.28
QQQ,04/18/2023,318.86,46746940,320.99,321.42,317.64
QQQ,04/17/2023,318.84,43007020,318.15,319.1999,316.04
QQQ,04/14/2023,318.57,56278280,317.59,320.36,315.61
QQQ,04/13/2023,319.17,54613790,314.83,319.65,313.63
QQQ,04/12/2023,313.04,62813310,317.82,318.42,312.565
QQQ,04/11/2023,315.83,40113590,317.83,317.89,315.31
QQQ,04/10/2023,317.87,45134740,315.07,317.92,313.25
QQQ,04/06/2023,318.05,46916500,314.24,318.55,312.82
QQQ,04/05/2023,315.92,62795710,318.1,319.06,314.07
QQQ,04/04/2023,319.07,45875380,320.6,321.63,317.8251
QQQ,04/03/2023,320.15,47126840,318.77,320.42,317.4201
QQQ,03/31/2023,320.93,62138100,315.91,321.17,315.6
QQQ,03/30/2023,315.68,58354810,315.24,316.32,312.8088
QQQ,03/29/2023,312.72,53274270,310.88,313.35,310.05
QQQ,03/28/2023,307.12,48585920,308.17,308.2,304.774
QQQ,03/27/2023,308.76,50287410,311.6,312.7,307.89
QQQ,03/24/2023,310.89,57245800,309.32,310.99,306.95
QQQ,03/23/2023,309.75,74575980,309.92,314.15,307.01
QQQ,03/22/2023,306.12,75791910,310.27,315.25,305.95
QQQ,03/21/2023,310.34,49757050,307.94,310.8,306.395
QQQ,03/20/2023,305.97,56359490,304.26,306.3,302.01
QQQ,03/17/2023,305.36,89923730,306.72,309.15,303.37
QQQ,03/16/2023,306.81,98556820,298,307.18,297.19
QQQ,03/15/2023,298.93,83631540,294.71,299.27,293.24
QQQ,03/14/2023,297.37,73602550,294.31,297.93,293.45
QQQ,03/13/2023,290.69,97123600,286.73,294.47,285.19
QQQ,03/10/2023,288.55,98593560,292.83,294.35,287.38
QQQ,03/09/2023,292.66,71456690,298.33,300.98,291.8299
QQQ,03/08/2023,297.82,50876270,296.77,298.43,294.88
QQQ,03/07/2023,296.34,65955760,300.07,301.01,295.72
QQQ,03/06/2023,300.02,56736290,300.94,304,299.82
QQQ,03/03/2023,299.68,60511540,295.39,299.92,294.87
QQQ,03/02/2023,293.61,53738560,288.66,294.43,288.37
QQQ,03/01/2023,291.2,58286970,293.26,293.93,290.2
QQQ,02/28/2023,293.56,48243140,293.3,296.124,292.96
QQQ,02/27/2023,293.94,48995010,295.07,296.49,293.34
QQQ,02/24/2023,291.85,74331960,291.76,292.97,290.05
QQQ,02/23/2023,296.82,69294440,297.97,298.13,292.55
QQQ,02/22/2023,294.25,51389240,294.62,296.3599,292.56
QQQ,02/21/2023,294.03,46526710,297.26,298.73,293.89
QQQ,02/17/2023,301.16,58230730,301.07,301.93,298.1
QQQ,02/16/2023,303.3,59498630,304.38,308.43,303.15
QQQ,02/15/2023,309.1,43427300,304.9,309.27,304.2
QQQ,02/14/2023,306.75,64079060,302.89,307.72,300.91
QQQ,02/13/2023,304.5,39636720,301.13,305.1,299.93
QQQ,02/10/2023,299.7,50050100,299.48,301.57,297.25
QQQ,02/09/2023,301.68,49137820,308.84,308.99,300.2
QQQ,02/08/2023,304.37,56720860,308.54,309.5,303.67
QQQ,02/07/2023,309.88,67583980,303.46,311.03,302.32
