Ticker,Date,Close/Last,Volume,Open,High,Low
SPY,05/31/2023,417.85,110811800,418.28,419.22,416.22
SPY,05/30/2023,420.18,72215960,422.03,422.58,418.735
SPY,05/26/2023,420.02,93829980,415.33,420.77,415.25
SPY,05/25/2023,414.65,90961610,414.74,416.16,412.4101
SPY,05/24/2023,411.09,89213680,412.42,412.82,409.8795
SPY,05/23/2023,414.09,86383490,417.08,418.722,413.68
SPY,05/22/2023,418.79,60745400,418.64,420.39,417.35
SPY,05/19/2023,418.62,103793300,420.17,420.72,417.35
SPY,05/18/2023,419.23,97177200,414.9,419.67,414.67
SPY,05/17/2023,415.23,87286960,412.35,415.855,410.635
SPY,05/16/2023,410.25,57705500,411.86,412.815,410.24
SPY,05/15/2023,413.01,54289380,412.22,413.43,410.23
SPY,05/12/2023,411.59,70481550,413.42,413.64,409.07
SPY,05/11/2023,412.13,70157060,411.95,412.43,409.97
SPY,05/10/2023,412.85,96142920,413.88,414.535,408.87
SPY,05/09/2023,410.93,49220120,411.13,412.09,410.6894
SPY,05/08/2023,412.74,50046770,412.97,413.24,411.28
SPY,05/05/2023,412.63,87891790,408.91,413.72,408.64
SPY,05/04/2023,405.13,94901860,406.93,407.27,403.74
SPY,05/03/2023,408.02,91531770,411.36,413.87,407.77
SPY,05/02/2023,410.84,103998500,414.77,414.82,407.82
SPY,05/01/2023,415.51,62122250,415.47,417.62,415.265
SPY,04/28/2023,415.93,89433140,411.49,415.94,411.43
SPY,04/27/2023,412.41,92968370,407,412.69,406.74
SPY,04/26/2023,404.36,80447050,406.72,407.84,403.78
SPY,04/25/2023,406.08,97766720,410.58,411.16,406.02
SPY,04/24/2023,412.63,64332100,411.99,413.07,410.6
SPY,04/21/2023,412.2,73457420,412.19,412.68,410.17
SPY,04/20/2023,411.88,75840360,411.21,413.7,410.27
SPY,04/19/2023,414.14,55227330,412.22,415.08,412.16
SPY,04/18/2023,414.21,63560000,415.58,415.72,412.7802
SPY,04/17/2023,413.94,66436400,412.37,413.96,411.085
SPY,04/14/2023,412.46,78161500,412.81,415.09,410.06
SPY,04/13/2023,413.47,85814750,409.18,413.84,407.9922
SPY,04/12/2023,408.05,86420380,411.87,412.17,407.44
SPY,04/11/2023,409.72,59297950,410.26,411.18,408.92
SPY,04/10/2023,409.61,63681040,406.61,409.69,405.97
SPY,04/06/2023,409.19,63743350,406.77,409.48,405.678
SPY,04/05/2023,407.6,65200240,407.91,408.7,405.88
SPY,04/04/2023,408.67,66601530,411.62,411.92,407.24
SPY,04/03/2023,410.95,67391100,408.85,411.37,408.44
SPY,03/31/2023,409.39,112062600,404.66,409.7,404.55
SPY,03/30/2023,403.7,69840050,404.09,404.35,401.76
SPY,03/29/2023,401.35,77497880,399.925,401.6,398.68
SPY,03/28/2023,395.6,62871680,395.77,396.49,393.69
SPY,03/27/2023,396.49,74010410,398.12,398.92,395.56
SPY,03/24/2023,395.75,107770100,391.841,395.84,389.4
SPY,03/23/2023,393.17,119351300,395.09,399.29,390.35
SPY,03/22/2023,392.11,111746600,398.73,402.49,392.07
SPY,03/21/2023,398.91,91524250,397.24,399.41,395.58
SPY,03/20/2023,393.74,93055780,390.8,394.17,390.07
SPY,03/17/2023,389.99,140553400,393.22,394.4,388.55
SPY,03/16/2023,396.11,143753900,386.82,396.47,386.29
SPY,03/15/2023,389.28,172996900,385.89,389.49,383.71
SPY,03/14/2023,391.73,149752400,390.5,393.45,387.05
SPY,03/13/2023,385.36,157790000,381.81,390.39,380.65
SPY,03/10/2023,385.91,189253000,390.99,393.16,384.32
SPY,03/09/2023,391.56,111945300,399.74,401.48,390.53
SPY,03/08/2023,398.92,74746630,398.39,399.71,396.59
SPY,03/07/2023,398.27,108310600,404.42,404.67,397.625
SPY,03/06/2023,404.47,72795950,405.05,407.45,404.01
SPY,03/03/2023,404.19,90119950,399.71,404.45,399.03
SPY,03/02/2023,397.81,85404730,392.68,398.69,392.33
SPY,03/01/2023,394.74,99706820,395.41,396.69,393.38
SPY,02/28/2023,396.26,96438570,397.23,399.28,396.15
SPY,02/27/2023,397.73,80444740,399.87,401.29,396.75
SPY,02/24/2023,396.38,108194400,395.42,397.25,393.64
