Ticker,Date,Close/Last,Volume,Open,High,Low
V,05/31/2023,$221.03 ,20460620,$219.96 ,$221.53 ,$216.14 
V,05/30/2023,$221.64 ,6916013,$225.01 ,$225.47 ,$219.75 
V,05/26/2023,$225.01 ,5067460,$223.82 ,$226.21 ,$223.34 
V,05/25/2023,$223.38 ,6827756,$222.45 ,$224.69 ,$220.49 
V,05/24/2023,$222.25 ,6730750,$222.55 ,$223.10 ,$220.03 
V,05/23/2023,$224.58 ,8537241,$229.27 ,$229.49 ,$223.66 
V,05/22/2023,$231.28 ,3987775,$233.31 ,$233.87 ,$231.18 
V,05/19/2023,$233.31 ,5399403,$234.00 ,$234.34 ,$231.94 
V,05/18/2023,$233.60 ,6621870,$232.40 ,$234.15 ,$231.13 
V,05/17/2023,$232.65 ,4990276,$232.73 ,$233.89 ,$230.55 
V,05/16/2023,$230.47 ,4289809,$232.56 ,$233.10 ,$229.63 
V,05/15/2023,$232.81 ,2843284,$231.19 ,$232.83 ,$230.55 
V,05/12/2023,$231.38 ,3432730,$232.00 ,$232.73 ,$229.82 
V,05/11/2023,$231.01 ,3818035,$230.75 ,$231.52 ,$228.27 
V,05/10/2023,$231.27 ,5245220,$234.30 ,$234.81 ,$228.90 
V,05/09/2023,$233.26 ,4352067,$231.08 ,$234.09 ,$230.82 
V,05/08/2023,$232.23 ,2938546,$231.25 ,$233.45 ,$231.25 
V,05/05/2023,$231.78 ,6237483,$228.34 ,$232.34 ,$227.29 
V,05/04/2023,$225.60 ,5648862,$224.84 ,$226.06 ,$223.48 
V,05/03/2023,$225.98 ,4093320,$226.98 ,$228.67 ,$225.92 
V,05/02/2023,$226.98 ,5244016,$231.95 ,$232.37 ,$226.21 
V,05/01/2023,$232.51 ,4571070,$232.87 ,$234.59 ,$231.51 
V,04/28/2023,$232.73 ,11627880,$228.65 ,$233.57 ,$228.06 
V,04/27/2023,$229.01 ,7128188,$228.67 ,$229.63 ,$226.61 
V,04/26/2023,$228.15 ,8400370,$231.22 ,$232.77 ,$226.72 
V,04/25/2023,$229.59 ,6076450,$233.02 ,$235.02 ,$229.43 
V,04/24/2023,$232.76 ,9124050,$234.23 ,$235.15 ,$231.51 
V,04/21/2023,$234.05 ,6771589,$235.00 ,$235.57 ,$233.38 
V,04/20/2023,$234.60 ,4925659,$232.46 ,$234.67 ,$231.50 
V,04/19/2023,$232.57 ,3833933,$234.00 ,$234.06 ,$231.85 
V,04/18/2023,$233.60 ,4796178,$233.75 ,$234.33 ,$231.69 
V,04/17/2023,$233.48 ,4865041,$234.02 ,$234.05 ,$230.94 
V,04/14/2023,$234.02 ,9781266,$232.99 ,$234.99 ,$232.24 
V,04/13/2023,$232.69 ,7615523,$229.46 ,$232.84 ,$228.80 
V,04/12/2023,$227.81 ,4373002,$229.93 ,$231.59 ,$227.33 
V,04/11/2023,$228.45 ,4513395,$227.00 ,$229.14 ,$226.20 
V,04/10/2023,$226.43 ,4952351,$225.56 ,$226.48 ,$224.32 
V,04/06/2023,$225.99 ,4285206,$226.16 ,$226.73 ,$224.68 
V,04/05/2023,$228.17 ,4813750,$226.78 ,$228.47 ,$226.55 
V,04/04/2023,$227.66 ,5254725,$229.00 ,$230.05 ,$226.83 
V,04/03/2023,$229.00 ,6421512,$225.23 ,$229.16 ,$224.12 
V,03/31/2023,$225.46 ,9508978,$223.60 ,$225.84 ,$223.29 
V,03/30/2023,$222.36 ,5383945,$223.92 ,$224.24 ,$221.21 
V,03/29/2023,$223.30 ,4482956,$222.29 ,$223.55 ,$220.92 
V,03/28/2023,$220.33 ,6418581,$222.82 ,$223.33 ,$218.65 
V,03/27/2023,$221.81 ,7211050,$222.59 ,$224.08 ,$221.39 
V,03/24/2023,$221.04 ,4792394,$220.67 ,$221.33 ,$218.25 
